date,DNI(W/m2),precipitation,rain,snowfall,snow_depth
2024-08-06 02:00:00+00:00,0,0,0,0,0
2024-08-06 03:00:00+00:00,0,0,0,0,0
2024-08-06 04:00:00+00:00,0,0,0,0,0
2024-08-06 05:00:00+00:00,0,0,0,0,0
2024-08-06 06:00:00+00:00,0,0,0,0,0
2024-08-06 07:00:00+00:00,0,0,0,0,0
2024-08-06 08:00:00+00:00,0,0,0,0,0
2024-08-06 09:00:00+00:00,0,0,0,0,0
2024-08-06 10:00:00+00:00,0,0,0,0,0
2024-08-06 11:00:00+00:00,0,0,0,0,0
2024-08-06 12:00:00+00:00,0,0,0,0,0
2024-08-06 13:00:00+00:00,293.36407,0,0,0,0
2024-08-06 14:00:00+00:00,566.6224,0,0,0,0
2024-08-06 15:00:00+00:00,704.9112,0,0,0,0
2024-08-06 16:00:00+00:00,781.516,0,0,0,0
2024-08-06 17:00:00+00:00,762.9033,0,0,0,0
2024-08-06 18:00:00+00:00,801.8056,0,0,0,0
2024-08-06 19:00:00+00:00,799.35815,0,0,0,0
2024-08-06 20:00:00+00:00,785.0578,0,0,0,0
2024-08-06 21:00:00+00:00,801.11304,0,0,0,0
2024-08-06 22:00:00+00:00,705.2778,0,0,0,0
2024-08-06 23:00:00+00:00,610.16394,0,0,0,0
2024-08-07 00:00:00+00:00,499.1658,0,0,0,0
2024-08-07 01:00:00+00:00,286.49576,0,0,0,0
2024-08-07 02:00:00+00:00,0,0,0,0,0
2024-08-07 03:00:00+00:00,0,0,0,0,0
2024-08-07 04:00:00+00:00,0,0,0,0,0
2024-08-07 05:00:00+00:00,0,0,0,0,0
2024-08-07 06:00:00+00:00,0,0,0,0,0
2024-08-07 07:00:00+00:00,0,0,0,0,0
2024-08-07 08:00:00+00:00,0,0,0,0,0
2024-08-07 09:00:00+00:00,0,0,0,0,0
2024-08-07 10:00:00+00:00,0,0,0,0,0
2024-08-07 11:00:00+00:00,0,0,0,0,0
2024-08-07 12:00:00+00:00,0,0,0,0,0
2024-08-07 13:00:00+00:00,295.0185,0,0,0,0
2024-08-07 14:00:00+00:00,572.154,0,0,0,0
2024-08-07 15:00:00+00:00,710.36774,0,0,0,0
2024-08-07 16:00:00+00:00,789.7971,0,0,0,0
2024-08-07 17:00:00+00:00,833.06604,0,0,0,0
2024-08-07 18:00:00+00:00,607.4303,0,0,0,0
2024-08-07 19:00:00+00:00,650.2419,0,0,0,0
2024-08-07 20:00:00+00:00,640.2723,0,0,0,0
2024-08-07 21:00:00+00:00,781.63696,0,0,0,0
2024-08-07 22:00:00+00:00,786.934,0,0,0,0
2024-08-07 23:00:00+00:00,713.23224,0,0,0,0
2024-08-08 00:00:00+00:00,600.5289,0,0,0,0
2024-08-08 01:00:00+00:00,319.65335,0,0,0,0
2024-08-08 02:00:00+00:00,0,0,0,0,0
2024-08-08 03:00:00+00:00,0,0,0,0,0
2024-08-08 04:00:00+00:00,0,0,0,0,0
2024-08-08 05:00:00+00:00,0,0,0,0,0
2024-08-08 06:00:00+00:00,0,0,0,0,0
2024-08-08 07:00:00+00:00,0,0,0,0,0
2024-08-08 08:00:00+00:00,0,0,0,0,0
2024-08-08 09:00:00+00:00,0,0,0,0,0
2024-08-08 10:00:00+00:00,0,0,0,0,0
2024-08-08 11:00:00+00:00,0,0,0,0,0
2024-08-08 12:00:00+00:00,0,0,0,0,0
2024-08-08 13:00:00+00:00,296.69873,0,0,0,0
2024-08-08 14:00:00+00:00,580.6152,0,0,0,0
2024-08-08 15:00:00+00:00,717.6915,0,0,0,0
2024-08-08 16:00:00+00:00,788.41223,0,0,0,0
2024-08-08 17:00:00+00:00,828.356,0,0,0,0
2024-08-08 18:00:00+00:00,846.5632,0,0,0,0
2024-08-08 19:00:00+00:00,854.31244,0,0,0,0
2024-08-08 20:00:00+00:00,846.1244,0,0,0,0
2024-08-08 21:00:00+00:00,822.92633,0,0,0,0
2024-08-08 22:00:00+00:00,776.67694,0,0,0,0
2024-08-08 23:00:00+00:00,685.54596,0,0,0,0
2024-08-09 00:00:00+00:00,529.045,0,0,0,0
2024-08-09 01:00:00+00:00,241.84262,0,0,0,0
2024-08-09 02:00:00+00:00,0,0,0,0,0
2024-08-09 03:00:00+00:00,0,0,0,0,0
2024-08-09 04:00:00+00:00,0,0,0,0,0
2024-08-09 05:00:00+00:00,0,0,0,0,0
2024-08-09 06:00:00+00:00,0,0,0,0,0
2024-08-09 07:00:00+00:00,0,0,0,0,0
2024-08-09 08:00:00+00:00,0,0,0,0,0
2024-08-09 09:00:00+00:00,0,0,0,0,0
2024-08-09 10:00:00+00:00,0,0,0,0,0
2024-08-09 11:00:00+00:00,0,0,0,0,0
2024-08-09 12:00:00+00:00,0,0,0,0,0
2024-08-09 13:00:00+00:00,266.66168,0,0,0,0
2024-08-09 14:00:00+00:00,540.3154,0,0,0,0
2024-08-09 15:00:00+00:00,650.18994,0,0,0,0
2024-08-09 16:00:00+00:00,714.7357,0,0,0,0
2024-08-09 17:00:00+00:00,672.0873,0,0,0,0
2024-08-09 18:00:00+00:00,530.8639,0.2,0.2,0,0
2024-08-09 19:00:00+00:00,467.19385,0,0,0,0
2024-08-09 20:00:00+00:00,665.80286,0,0,0,0
2024-08-09 21:00:00+00:00,449.7905,0,0,0,0
2024-08-09 22:00:00+00:00,280.84183,0.9,0.9,0,0
2024-08-09 23:00:00+00:00,340.6345,0,0,0,0
2024-08-10 00:00:00+00:00,328.9637,0,0,0,0
2024-08-10 01:00:00+00:00,0,0,0,0,0
2024-08-10 02:00:00+00:00,0,0,0,0,0
2024-08-10 03:00:00+00:00,0,0,0,0,0
2024-08-10 04:00:00+00:00,0,0,0,0,0
2024-08-10 05:00:00+00:00,0,0,0,0,0
2024-08-10 06:00:00+00:00,0,0,0,0,0
2024-08-10 07:00:00+00:00,0,0,0,0,0
2024-08-10 08:00:00+00:00,0,0,0,0,0
2024-08-10 09:00:00+00:00,0,0,0,0,0
2024-08-10 10:00:00+00:00,0,0,0,0,0
2024-08-10 11:00:00+00:00,0,0,0,0,0
2024-08-10 12:00:00+00:00,0,0,0,0,0
2024-08-10 13:00:00+00:00,249.05357,0,0,0,0
2024-08-10 14:00:00+00:00,525.6289,0,0,0,0
2024-08-10 15:00:00+00:00,668.4139,0,0,0,0
2024-08-10 16:00:00+00:00,749.4722,0,0,0,0
2024-08-10 17:00:00+00:00,797.79535,0,0,0,0
2024-08-10 18:00:00+00:00,767.36053,0,0,0,0
2024-08-10 19:00:00+00:00,790.1589,0,0,0,0
2024-08-10 20:00:00+00:00,758.9728,0,0,0,0
2024-08-10 21:00:00+00:00,604.51843,0,0,0,0
2024-08-10 22:00:00+00:00,549.46246,0,0,0,0
2024-08-10 23:00:00+00:00,305.76025,0,0,0,0
2024-08-11 00:00:00+00:00,414.50424,0,0,0,0
2024-08-11 01:00:00+00:00,265.28275,0,0,0,0
2024-08-11 02:00:00+00:00,0,0,0,0,0
2024-08-11 03:00:00+00:00,0,0,0,0,0
2024-08-11 04:00:00+00:00,0,0,0,0,0
2024-08-11 05:00:00+00:00,0,0,0,0,0
2024-08-11 06:00:00+00:00,0,0,0,0,0
2024-08-11 07:00:00+00:00,0,0,0,0,0
2024-08-11 08:00:00+00:00,0,0,0,0,0
2024-08-11 09:00:00+00:00,0,0,0,0,0
2024-08-11 10:00:00+00:00,0,0,0,0,0
2024-08-11 11:00:00+00:00,0,0,0,0,0
2024-08-11 12:00:00+00:00,0,0,0,0,0
2024-08-11 13:00:00+00:00,269.7857,0,0,0,0
2024-08-11 14:00:00+00:00,548.5397,0,0,0,0
2024-08-11 15:00:00+00:00,692.26086,0,0,0,0
2024-08-11 16:00:00+00:00,770.4005,0,0,0,0
2024-08-11 17:00:00+00:00,815.48334,0,0,0,0
2024-08-11 18:00:00+00:00,840.33136,0,0,0,0
2024-08-11 19:00:00+00:00,840.2559,0,0,0,0
2024-08-11 20:00:00+00:00,829.98267,0,0,0,0
2024-08-11 21:00:00+00:00,812.89856,0,0,0,0
2024-08-11 22:00:00+00:00,676.39276,0,0,0,0
2024-08-11 23:00:00+00:00,669.2018,0,0,0,0
2024-08-12 00:00:00+00:00,533.2344,0,0,0,0
2024-08-12 01:00:00+00:00,235.97073,0,0,0,0
2024-08-12 02:00:00+00:00,0,0,0,0,0
2024-08-12 03:00:00+00:00,0,0,0,0,0
2024-08-12 04:00:00+00:00,0,0,0,0,0
2024-08-12 05:00:00+00:00,0,0,0,0,0
2024-08-12 06:00:00+00:00,0,0,0,0,0
2024-08-12 07:00:00+00:00,0,0,0,0,0
2024-08-12 08:00:00+00:00,0,0,0,0,0
2024-08-12 09:00:00+00:00,0,0,0,0,0
2024-08-12 10:00:00+00:00,0,0,0,0,0
2024-08-12 11:00:00+00:00,0,0,0,0,0
2024-08-12 12:00:00+00:00,0,0,0,0,0
2024-08-12 13:00:00+00:00,258.46036,0,0,0,0
2024-08-12 14:00:00+00:00,536.6892,0,0,0,0
2024-08-12 15:00:00+00:00,644.44507,0,0,0,0
2024-08-12 16:00:00+00:00,679.56555,0,0,0,0
2024-08-12 17:00:00+00:00,752.99475,0,0,0,0
2024-08-12 18:00:00+00:00,780.27124,0,0,0,0
2024-08-12 19:00:00+00:00,771.6637,0,0,0,0
2024-08-12 20:00:00+00:00,724.03876,0,0,0,0
2024-08-12 21:00:00+00:00,640.24506,0,0,0,0
2024-08-12 22:00:00+00:00,596.1469,0,0,0,0
2024-08-12 23:00:00+00:00,429.89047,0,0,0,0
2024-08-13 00:00:00+00:00,404.07428,0,0,0,0
2024-08-13 01:00:00+00:00,45.090797,0,0,0,0
2024-08-13 02:00:00+00:00,0,0,0,0,0
2024-08-13 03:00:00+00:00,0,0,0,0,0
2024-08-13 04:00:00+00:00,0,0,0,0,0
2024-08-13 05:00:00+00:00,0,0,0,0,0
2024-08-13 06:00:00+00:00,0,0,0,0,0
2024-08-13 07:00:00+00:00,0,0,0,0,0
2024-08-13 08:00:00+00:00,0,0,0,0,0
2024-08-13 09:00:00+00:00,0,0,0,0,0
2024-08-13 10:00:00+00:00,0,0,0,0,0
2024-08-13 11:00:00+00:00,0,0,0,0,0
2024-08-13 12:00:00+00:00,0,0,0,0,0
2024-08-13 13:00:00+00:00,214.50348,0,0,0,0
2024-08-13 14:00:00+00:00,325.39142,0,0,0,0
2024-08-13 15:00:00+00:00,389.58557,0,0,0,0
2024-08-13 16:00:00+00:00,609.41833,0,0,0,0
2024-08-13 17:00:00+00:00,678.5169,0,0,0,0
2024-08-13 18:00:00+00:00,689.92993,0,0,0,0
2024-08-13 19:00:00+00:00,597.4089,0,0,0,0
2024-08-13 20:00:00+00:00,557.48193,0,0,0,0
2024-08-13 21:00:00+00:00,387.65015,0,0,0,0
2024-08-13 22:00:00+00:00,637.296,0,0,0,0
2024-08-13 23:00:00+00:00,498.46344,0.3,0.3,0,0
2024-08-14 00:00:00+00:00,313.79355,0,0,0,0
2024-08-14 01:00:00+00:00,45.556915,0,0,0,0
2024-08-14 02:00:00+00:00,0,0,0,0,0
2024-08-14 03:00:00+00:00,0,0,0,0,0
2024-08-14 04:00:00+00:00,0,0,0,0,0
2024-08-14 05:00:00+00:00,0,0,0,0,0
2024-08-14 06:00:00+00:00,0,0,0,0,0
2024-08-14 07:00:00+00:00,0,0,0,0,0
2024-08-14 08:00:00+00:00,0,0,0,0,0
2024-08-14 09:00:00+00:00,0,0,0,0,0
2024-08-14 10:00:00+00:00,0,0,0,0,0
2024-08-14 11:00:00+00:00,0,0,0,0,0
2024-08-14 12:00:00+00:00,0,0,0,0,0
2024-08-14 13:00:00+00:00,241.95197,0,0,0,0
2024-08-14 14:00:00+00:00,527.3924,0,0,0,0
2024-08-14 15:00:00+00:00,670.2627,0,0,0,0
2024-08-14 16:00:00+00:00,699.03723,0,0,0,0
2024-08-14 17:00:00+00:00,751.8226,0,0,0,0
2024-08-14 18:00:00+00:00,752.4159,0,0,0,0
2024-08-14 19:00:00+00:00,781.4419,0,0,0,0
2024-08-14 20:00:00+00:00,788.21216,0,0,0,0
2024-08-14 21:00:00+00:00,771.25574,0,0,0,0
2024-08-14 22:00:00+00:00,730.7673,0,0,0,0
2024-08-14 23:00:00+00:00,651.27563,0,0,0,0
2024-08-15 00:00:00+00:00,298.8876,0,0,0,0
2024-08-15 01:00:00+00:00,190.7457,0,0,0,0
2024-08-15 02:00:00+00:00,0,0,0,0,0
2024-08-15 03:00:00+00:00,0,0,0,0,0
2024-08-15 04:00:00+00:00,0,0,0,0,0
2024-08-15 05:00:00+00:00,0,0,0,0,0
2024-08-15 06:00:00+00:00,0,0,0,0,0
2024-08-15 07:00:00+00:00,0,0,0,0,0
2024-08-15 08:00:00+00:00,0,0,0,0,0
2024-08-15 09:00:00+00:00,0,0,0,0,0
2024-08-15 10:00:00+00:00,0,0,0,0,0
2024-08-15 11:00:00+00:00,0,0,0,0,0
2024-08-15 12:00:00+00:00,0,0,0,0,0
2024-08-15 13:00:00+00:00,243.4207,0,0,0,0
2024-08-15 14:00:00+00:00,533.05084,0,0,0,0
2024-08-15 15:00:00+00:00,670.30524,0,0,0,0
2024-08-15 16:00:00+00:00,758.08466,0,0,0,0
2024-08-15 17:00:00+00:00,805.2292,0,0,0,0
2024-08-15 18:00:00+00:00,742.78723,0,0,0,0
2024-08-15 19:00:00+00:00,656.99945,0,0,0,0
2024-08-15 20:00:00+00:00,641.7442,0,0,0,0
2024-08-15 21:00:00+00:00,657.9753,0,0,0,0
2024-08-15 22:00:00+00:00,606.36066,0,0,0,0
2024-08-15 23:00:00+00:00,594.97174,0,0,0,0
2024-08-16 00:00:00+00:00,185.18959,0,0,0,0
2024-08-16 01:00:00+00:00,46.546543,0,0,0,0
2024-08-16 02:00:00+00:00,0,0,0,0,0
2024-08-16 03:00:00+00:00,0,0,0,0,0
2024-08-16 04:00:00+00:00,0,0,0,0,0
2024-08-16 05:00:00+00:00,0,0,0,0,0
2024-08-16 06:00:00+00:00,0,0,0,0,0
2024-08-16 07:00:00+00:00,0,0,0,0,0
2024-08-16 08:00:00+00:00,0,0,0,0,0
2024-08-16 09:00:00+00:00,0,0,0,0,0
2024-08-16 10:00:00+00:00,0,0,0,0,0
2024-08-16 11:00:00+00:00,0,0,0,0,0
2024-08-16 12:00:00+00:00,0,0,0,0,0
2024-08-16 13:00:00+00:00,191.95633,0,0,0,0
2024-08-16 14:00:00+00:00,500.07852,0,0,0,0
2024-08-16 15:00:00+00:00,636.844,0,0,0,0
2024-08-16 16:00:00+00:00,679.2781,0,0,0,0
2024-08-16 17:00:00+00:00,686.5956,0,0,0,0
2024-08-16 18:00:00+00:00,671.5199,0,0,0,0
2024-08-16 19:00:00+00:00,623.485,0,0,0,0
2024-08-16 20:00:00+00:00,623.5519,0,0,0,0
2024-08-16 21:00:00+00:00,641.80273,0,0,0,0
2024-08-16 22:00:00+00:00,600.0053,0,0,0,0
2024-08-16 23:00:00+00:00,616.88947,0,0,0,0
2024-08-17 00:00:00+00:00,352.8264,0.1,0.1,0,0
2024-08-17 01:00:00+00:00,181.55965,0,0,0,0
2024-08-17 02:00:00+00:00,0,0,0,0,0
2024-08-17 03:00:00+00:00,0,0,0,0,0
2024-08-17 04:00:00+00:00,0,0,0,0,0
2024-08-17 05:00:00+00:00,0,0,0,0,0
2024-08-17 06:00:00+00:00,0,0,0,0,0
2024-08-17 07:00:00+00:00,0,0,0,0,0
2024-08-17 08:00:00+00:00,0,0,0,0,0
2024-08-17 09:00:00+00:00,0,0,0,0,0
2024-08-17 10:00:00+00:00,0,0,0,0,0
2024-08-17 11:00:00+00:00,0,0,0,0,0
2024-08-17 12:00:00+00:00,0,0,0,0,0
2024-08-17 13:00:00+00:00,246.41801,0,0,0,0
2024-08-17 14:00:00+00:00,538.5813,0,0,0,0
2024-08-17 15:00:00+00:00,683.50616,0,0,0,0
2024-08-17 16:00:00+00:00,779.51495,0,0,0,0
2024-08-17 17:00:00+00:00,742.49976,0,0,0,0
2024-08-17 18:00:00+00:00,654.2036,0,0,0,0
2024-08-17 19:00:00+00:00,746.55316,0,0,0,0
2024-08-17 20:00:00+00:00,707.28906,0,0,0,0
2024-08-17 21:00:00+00:00,753.3306,0,0,0,0
2024-08-17 22:00:00+00:00,683.12573,0,0,0,0
2024-08-17 23:00:00+00:00,542.9596,0,0,0,0
2024-08-18 00:00:00+00:00,499.43542,0,0,0,0
2024-08-18 01:00:00+00:00,204.06793,0,0,0,0
2024-08-18 02:00:00+00:00,0,0,0,0,0
2024-08-18 03:00:00+00:00,0,0,0,0,0
2024-08-18 04:00:00+00:00,0,0,0,0,0
2024-08-18 05:00:00+00:00,0,0,0,0,0
2024-08-18 06:00:00+00:00,0,0,0,0,0
2024-08-18 07:00:00+00:00,0,0,0,0,0
2024-08-18 08:00:00+00:00,0,0,0,0,0
2024-08-18 09:00:00+00:00,0,0,0,0,0
2024-08-18 10:00:00+00:00,0,0,0,0,0
2024-08-18 11:00:00+00:00,0,0,0,0,0
2024-08-18 12:00:00+00:00,0,0,0,0,0
2024-08-18 13:00:00+00:00,80.41441,0,0,0,0
2024-08-18 14:00:00+00:00,294.76202,0,0,0,0
2024-08-18 15:00:00+00:00,530.0466,0,0,0,0
2024-08-18 16:00:00+00:00,591.50653,0,0,0,0
2024-08-18 17:00:00+00:00,590.0253,0,0,0,0
2024-08-18 18:00:00+00:00,623.83563,0,0,0,0
2024-08-18 19:00:00+00:00,679.4309,0,0,0,0
2024-08-18 20:00:00+00:00,756.62726,0,0,0,0
2024-08-18 21:00:00+00:00,720.6521,0,0,0,0
2024-08-18 22:00:00+00:00,759.77954,0,0,0,0
2024-08-18 23:00:00+00:00,616.1396,0,0,0,0
2024-08-19 00:00:00+00:00,504.4864,0,0,0,0
2024-08-19 01:00:00+00:00,48.181557,0,0,0,0
2024-08-19 02:00:00+00:00,0,0,0,0,0
2024-08-19 03:00:00+00:00,0,0,0,0,0
2024-08-19 04:00:00+00:00,0,0,0,0,0
2024-08-19 05:00:00+00:00,0,0,0,0,0
2024-08-19 06:00:00+00:00,0,0,0,0,0
2024-08-19 07:00:00+00:00,0,0,0,0,0
2024-08-19 08:00:00+00:00,0,0,0,0,0
2024-08-19 09:00:00+00:00,0,0,0,0,0
2024-08-19 10:00:00+00:00,0,0,0,0,0
2024-08-19 11:00:00+00:00,0,0,0,0,0
2024-08-19 12:00:00+00:00,0,0,0,0,0
2024-08-19 13:00:00+00:00,256.23285,0,0,0,0
2024-08-19 14:00:00+00:00,562.3929,0,0,0,0
2024-08-19 15:00:00+00:00,595.4769,0,0,0,0
2024-08-19 16:00:00+00:00,604.09344,0,0,0,0
2024-08-19 17:00:00+00:00,618.53436,0,0,0,0
2024-08-19 18:00:00+00:00,832.48193,0,0,0,0
2024-08-19 19:00:00+00:00,771.4476,0,0,0,0
2024-08-19 20:00:00+00:00,794.23267,0,0,0,0
2024-08-19 21:00:00+00:00,794.6753,0,0,0,0
2024-08-19 22:00:00+00:00,712.57806,0,0,0,0
2024-08-19 23:00:00+00:00,623.47406,0,0,0,0
2024-08-20 00:00:00+00:00,512.8233,0,0,0,0
2024-08-20 01:00:00+00:00,236.87599,0,0,0,0
2024-08-20 02:00:00+00:00,0,0,0,0,0
2024-08-20 03:00:00+00:00,0,0,0,0,0
2024-08-20 04:00:00+00:00,0,0,0,0,0
2024-08-20 05:00:00+00:00,0,0,0,0,0
2024-08-20 06:00:00+00:00,0,0,0,0,0
2024-08-20 07:00:00+00:00,0,0,0,0,0
2024-08-20 08:00:00+00:00,0,0,0,0,0
2024-08-20 09:00:00+00:00,0,0,0,0,0
2024-08-20 10:00:00+00:00,0,0,0,0,0
2024-08-20 11:00:00+00:00,0,0,0,0,0
2024-08-20 12:00:00+00:00,0,0,0,0,0
2024-08-20 13:00:00+00:00,101.77864,0,0,0,0
2024-08-20 14:00:00+00:00,462.02658,0,0,0,0
2024-08-20 15:00:00+00:00,550.147,0,0,0,0
2024-08-20 16:00:00+00:00,294.1638,0,0,0,0
2024-08-20 17:00:00+00:00,336.14365,0,0,0,0
2024-08-20 18:00:00+00:00,556.3261,0,0,0,0
2024-08-20 19:00:00+00:00,820.49695,0,0,0,0
2024-08-20 20:00:00+00:00,839.69556,0,0,0,0
2024-08-20 21:00:00+00:00,768.05084,0,0,0,0
2024-08-20 22:00:00+00:00,726.8481,0,0,0,0
2024-08-20 23:00:00+00:00,630.97845,0,0,0,0
2024-08-21 00:00:00+00:00,486.89682,0,0,0,0
2024-08-21 01:00:00+00:00,232.80331,0,0,0,0
2024-08-21 02:00:00+00:00,0,0,0,0,0
2024-08-21 03:00:00+00:00,0,0,0,0,0
2024-08-21 04:00:00+00:00,0,0,0,0,0
2024-08-21 05:00:00+00:00,0,0,0,0,0
2024-08-21 06:00:00+00:00,0,0,0,0,0
2024-08-21 07:00:00+00:00,0,0,0,0,0
2024-08-21 08:00:00+00:00,0,0,0,0,0
2024-08-21 09:00:00+00:00,0,0,0,0,0
2024-08-21 10:00:00+00:00,0,0,0,0,0
2024-08-21 11:00:00+00:00,0,0,0,0,0
2024-08-21 12:00:00+00:00,0,0,0,0,0
2024-08-21 13:00:00+00:00,232.15515,0,0,0,0
2024-08-21 14:00:00+00:00,534.7793,0,0,0,0
2024-08-21 15:00:00+00:00,684.0812,0,0,0,0
2024-08-21 16:00:00+00:00,770.47046,0,0,0,0
2024-08-21 17:00:00+00:00,818.5453,0,0,0,0
2024-08-21 18:00:00+00:00,749.2919,0,0,0,0
2024-08-21 19:00:00+00:00,544.544,0,0,0,0
2024-08-21 20:00:00+00:00,518.7817,0,0,0,0
2024-08-21 21:00:00+00:00,544.5388,0,0,0,0
2024-08-21 22:00:00+00:00,628.82733,0,0,0,0
2024-08-21 23:00:00+00:00,403.279,0,0,0,0
2024-08-22 00:00:00+00:00,381.14194,0,0,0,0
2024-08-22 01:00:00+00:00,135.79239,0,0,0,0
2024-08-22 02:00:00+00:00,0,8.4,8.4,0,0
2024-08-22 03:00:00+00:00,0,0,0,0,0
2024-08-22 04:00:00+00:00,0,0,0,0,0
2024-08-22 05:00:00+00:00,0,0,0,0,0
2024-08-22 06:00:00+00:00,0,0,0,0,0
2024-08-22 07:00:00+00:00,0,0,0,0,0
2024-08-22 08:00:00+00:00,0,0,0,0,0
2024-08-22 09:00:00+00:00,0,0,0,0,0
2024-08-22 10:00:00+00:00,0,0,0,0,0
2024-08-22 11:00:00+00:00,0,0,0,0,0
2024-08-22 12:00:00+00:00,0,0,0,0,0
2024-08-22 13:00:00+00:00,171.78691,0,0,0,0
2024-08-22 14:00:00+00:00,227.35262,0,0,0,0
2024-08-22 15:00:00+00:00,214.18803,0,0,0,0
2024-08-22 16:00:00+00:00,692.24,0.7,0.7,0,0
2024-08-22 17:00:00+00:00,349.41205,0,0,0,0
2024-08-22 18:00:00+00:00,617.3794,0.1,0.1,0,0
2024-08-22 19:00:00+00:00,161.36044,0,0,0,0
2024-08-22 20:00:00+00:00,381.79654,0.4,0.4,0,0
2024-08-22 21:00:00+00:00,490.49637,0,0,0,0
2024-08-22 22:00:00+00:00,504.00693,0,0,0,0
2024-08-22 23:00:00+00:00,236.89154,0,0,0,0
2024-08-23 00:00:00+00:00,231.32132,0,0,0,0
2024-08-23 01:00:00+00:00,0,3,3,0,0
2024-08-23 02:00:00+00:00,0,0.1,0.1,0,0
2024-08-23 03:00:00+00:00,0,0,0,0,0
2024-08-23 04:00:00+00:00,0,0,0,0,0
2024-08-23 05:00:00+00:00,0,0,0,0,0
2024-08-23 06:00:00+00:00,0,0,0,0,0
2024-08-23 07:00:00+00:00,0,0,0,0,0
2024-08-23 08:00:00+00:00,0,0,0,0,0
2024-08-23 09:00:00+00:00,0,0,0,0,0
2024-08-23 10:00:00+00:00,0,0,0,0,0
2024-08-23 11:00:00+00:00,0,0,0,0,0
2024-08-23 12:00:00+00:00,0,0,0,0,0
2024-08-23 13:00:00+00:00,124.47925,0,0,0,0
2024-08-23 14:00:00+00:00,188.42978,0.1,0.1,0,0
2024-08-23 15:00:00+00:00,359.34506,0.2,0.2,0,0
2024-08-23 16:00:00+00:00,193.11772,8.5,8.5,0,0
2024-08-23 17:00:00+00:00,21.655127,1.8,1.8,0,0
2024-08-23 18:00:00+00:00,0,0,0,0,0
2024-08-23 19:00:00+00:00,27.659187,0,0,0,0
2024-08-23 20:00:00+00:00,29.696016,0.1,0.1,0,0
2024-08-23 21:00:00+00:00,134.85796,0.1,0.1,0,0
2024-08-23 22:00:00+00:00,74.18213,0,0,0,0
